Experiment,Type,Webapp,Browser,CPU,Memory,Energy
6,Without,bbc,chrome,27.26,1200533.733,73.72156274
7,Without,bbc,chrome,28.10666667,1194590.4,77.08627018
8,Without,bbc,chrome,27.81956522,1204980.109,70.45344653
9,Without,bbc,chrome,26.32888889,1210261.422,69.76973441
10,Without,bbc,chrome,25.03333333,1212660.467,72.09775558
1,Without,bbc,firefox,19.72142857,1204516.881,102.4249773
2,Without,bbc,firefox,32.00681818,1202525.568,90.91383735
3,Without,bbc,firefox,27.415,1234331.175,87.4006413
4,Without,bbc,firefox,27.05675676,1229828.351,87.26593368
5,Without,bbc,firefox,22.39428571,1242637.343,84.87619331
6,Without,bbc,firefox,22.97317073,1225361.512,84.65687366
7,Without,bbc,firefox,25.02571429,1242449.229,85.27293712
8,Without,bbc,firefox,23.19487179,1228580.154,82.50979908
9,Without,bbc,firefox,24.1225,1253138.175,81.44701449
10,Without,bbc,firefox,30.70769231,1253084.692,82.22946446
1,Without,cnblogs,chrome,17.75,1164445.609,85.28289885
2,Without,cnblogs,chrome,19.92978723,1155228.851,74.93786464
3,Without,cnblogs,chrome,13.98478261,1144433.826,78.41846957
4,Without,cnblogs,chrome,14.53695652,1145206.391,76.57472707
5,Without,cnblogs,chrome,21.84565217,1150883.804,79.29966663
6,Without,cnblogs,chrome,17.57959184,1152299.122,80.01788111
7,Without,cnblogs,chrome,21.97659574,1138537.149,77.06594831
8,Without,cnblogs,chrome,16.53958333,1162028.979,76.35498069
9,Without,cnblogs,chrome,27.61276596,1155985.745,71.22256521
10,Without,cnblogs,chrome,22.04680851,1153607.362,78.44572123
1,Without,cnblogs,firefox,15.71458333,1185286.167,110.3160124
2,Without,cnblogs,firefox,16.19591837,1162816.633,88.60821756
3,Without,cnblogs,firefox,14.37111111,1186871.867,79.8538425
4,Without,cnblogs,firefox,22.1,1189879.744,78.0219792
5,Without,cnblogs,firefox,22.41333333,1194131.044,76.86497484
6,Without,cnblogs,firefox,20.48095238,1191655.714,74.83416587
7,Without,cnblogs,firefox,21.77111111,1192855.667,73.20758226
8,Without,cnblogs,firefox,22.76363636,1207632.295,75.89689357
9,Without,cnblogs,firefox,28.85,1195663.341,72.78491512
10,Without,cnblogs,firefox,27.76046512,1214699.047,75.82203824
1,Without,imdb,chrome,33.87333333,1356259.8,150.2216368
2,Without,imdb,chrome,51.87037037,1354367.963,155.1115058
3,Without,imdb,chrome,56.12,1360083.1,152.6303198
4,Without,imdb,chrome,50.79677419,1346011.871,159.9527827
